商品url,商品名,商品价格,店铺名,店铺url,店铺综合评分
https://item.taobao.com/item.htm?id=539569272833,中国风外套龙纹刺绣复古老式亚麻长款风衣男士盘扣唐装潮青年大衣,168.0,韩式衣店中式大码男装,http://shop116987402.taobao.com,4.6
https://item.taobao.com/item.htm?id=541887374287,加厚海宁皮大衣中长款风衣皮毛一体男士冬季装皮衣加肥加大码外套,368.0,南水皮衣直销店,http://nanshui.taobao.com,4.8
https://item.taobao.com/item.htm?id=540606485235,REMEDY潮牌街头M51宽松剪裁字母刺绣军绿迷彩中长款连帽风衣外套,183.0,FXGS 上平台,http://fxgs.taobao.com,4.7
https://item.taobao.com/item.htm?id=557860174094,夹克男中长款2017秋季新款外套韩版潮流春秋帅气上衣服男士风衣潮,79.8,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=536694192346,中老年风衣男中长款商务休闲薄款翻领中年男士风衣爸爸装春秋外套,178.0,迪兰特男装,http://shop65683091.taobao.com,4.8
https://item.taobao.com/item.htm?id=540788059654,青少年中长款外套正品风衣男秋冬装卫衣风衣男个性加大爸爸装外套,10.70-79.70,8090青春同路人,http://shop62871812.taobao.com,4.2
https://item.taobao.com/item.htm?id=557533910330,天天特价男秋款韩版风衣中长款外套帅气连帽男子修身百搭潮牌薄款,89.0,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=549542953143,战地吉普男士2017新款夹克春季薄款风衣宽松男装青年休闲上衣外套,95.00-115.00,美国Jeep旗航店,http://shop101136435.taobao.com,4.6
https://item.taobao.com/item.htm?id=540791691613,男士秋季外套韩版冬季衣服青少年中长款风衣男冬天学生上衣大衣潮,814.00 - 879.00,8090青春同路人,http://shop62871812.taobao.com,4.2
https://item.taobao.com/item.htm?id=557873802999,新款秋冬保暖毛呢牛角扣潮流风衣男流行学生情侣男女大衣外套男,155.0,玩潮青年GoTide,http://dwlei.taobao.com,4.6
https://item.taobao.com/item.htm?id=544759732089,春季新款加肥加大码夹克男薄款风衣宽松中长款连帽夹克衫外套男装,118.0,吉祥大码男装,http://shop551412009.taobao.com,4.7
https://item.taobao.com/item.htm?id=41540822253,风衣男中长款韩版修身学生外套青少年秋冬季薄款大衣加大码男装潮,367.00 - 398.00,尚都品质服装城,http://shop63258280.taobao.com,4.6
https://item.taobao.com/item.htm?id=540528642371,2017新款风衣男短款修身韩版冬季男士毛呢外套加厚青年装呢子大衣,248.0,南极羚时尚精品馆,http://shop66195844.taobao.com,4.6
https://item.taobao.com/item.htm?id=556673331755,克雷格JJ品牌男装秋款潮修身青年男莱卡弹力商务中长款风衣外套男,149.0,jj国内品牌折扣店,http://shop165863596.taobao.com,4.7
https://item.taobao.com/item.htm?id=540788033426,加棉卫衣秋天风衣男士冬季韩版青年男装上衣大衣中长款帅气外套潮,20.00-79.00,8090青春同路人,http://shop62871812.taobao.com,4.2
https://item.taobao.com/item.htm?id=557037940222,青少年中长款风衣男士加绒加厚外套秋冬季学生韩版衣服男装秋季潮,198.0,浪漫音花服饰,http://shop135628344.taobao.com,4.6
https://item.taobao.com/item.htm?id=557242615370,风衣男士韩版中长款外套男2017新款春秋连帽夹克潮流大码秋季衣服,198.0,沃克骑士,http://xiaomin2010.taobao.com,4.7
https://item.taobao.com/item.htm?id=542453507105,,268.0,首尔时尚韩国代购品质男装,http://ybman.taobao.com,4.8
https://item.taobao.com/item.htm?id=557399836974,2017秋冬季新款韩版羊毛呢大衣男士长款风衣潮男装修身呢子外套,358.0,Bo丶lover,http://shop339763860.taobao.com,4.7
https://item.taobao.com/item.htm?id=556825310374,国潮你的男孩 紫色半拉链风衣外套 撞色拼接嘻哈街头潮男教练夹克,295.00 - 308.00,潮人惠,http://shop149803192.taobao.com,4.5
https://item.taobao.com/item.htm?id=540788371328,情侣装秋冬装2016新款韩版潮帅气大衣男中长款情侣风衣外套连帽,15.70-79.70,8090青春同路人,http://shop62871812.taobao.com,4.2
https://item.taobao.com/item.htm?id=557824353947,男士风衣中长款春秋 商务休闲外套男大衣薄款翻领单排扣纯色上衣,258.0,酷8品质男装店,http://kuyizhuliu.taobao.com,4.5
https://item.taobao.com/item.htm?id=42986283962,N+a纳迪亚/新品/nadia男女装/长袖防风可卸帽/风衣/FC338,175.0,纳迪亚折扣店,http://651002536.taobao.com,4.7
https://item.taobao.com/item.htm?id=548024814481,,468.0,南边海外代购,http://shop506893580.taobao.com,4.9
https://item.taobao.com/item.htm?id=556098903199,U.S. POLO ASSN 男式夹克风衣 撞色拉链无帽外套 拼邮USP8-1,298.0,北美1号仓库,http://memexn.taobao.com,4.8
https://item.taobao.com/item.htm?id=556013638196,男童春秋外套风衣2017新款春装十韩版大童12百搭13儿童15岁潮休闲,49.0,浙江织里童装厂家直销,http://shop110510052.taobao.com,4.6
https://item.taobao.com/item.htm?id=538499869658,,228.0,小韩衣厨,http://xiaohan518.taobao.com,4.9
https://item.taobao.com/item.htm?id=536848963453,秋季新款中国风长款青年男装复古薄款棉麻防晒开衫民族风衣外套潮,91.00-105.00,贵衣我服 中国风原创复古男装,http://xuebiaobiao.taobao.com,4.7
https://item.taobao.com/item.htm?id=538383716255,春秋季中长款夹克男韩版修身青少年学生戴帽韩式风衣中款连冒外套,88.0,YL异类   每周一有上新,http://shop113801610.taobao.com,4.5
https://item.taobao.com/item.htm?id=538721635947,反季清仓加绒加厚毛呢大衣男风衣大码中长款风衣修身外套大码胖子,39.00-99.00,花花潮流时尚男装店,http://157142723.taobao.com,4.7
https://item.taobao.com/item.htm?id=541435143460,SENCE LA 迷彩 貂毛内衬 徽章勋章 座山雕棉服 风衣大衣 男女同款,518.0,AFFA LAB,http://shop124243416.taobao.com,4.8
https://item.taobao.com/item.htm?id=557591695578,2017秋冬装新款韩版潮流休闲情侣毛呢牛角扣潮男风衣大衣外套,328.0,Bo丶lover,http://shop339763860.taobao.com,4.7
https://item.taobao.com/item.htm?id=539112168555,秋冬男装中长款鸡皮绒风衣青年时尚潮流修身呢子大衣潮男休闲外套,296.0,耍大牌潮店,http://shop71079463.taobao.com,4.7
https://item.taobao.com/item.htm?id=536548630533,港风秋季男士中长款风衣西装领字母刺绣韩版宽松水洗牛仔青年外套,135.0,沐恩衣舍,http://5201213.taobao.com,4.6
https://item.taobao.com/item.htm?id=550669383196,欢乐颂2赵启平王子文曲筱绡同款春秋韩版情侣款风衣女中长款外套,199.00-229.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=544673849986,2017韩版东大门宽松落肩袖OVERSIZE中长款单排扣风衣外套男潮大牌,135.0,BM男装大胡子蒙男工作室,http://full-beard.taobao.com,4.7
https://item.taobao.com/item.htm?id=556694196979,风衣男韩版长款过膝男款风衣2017新款秋季外套宽松薄款双排扣潮流,298.0,ZIONARA韩国男装店,http://zionara.taobao.com,4.8
https://item.taobao.com/item.htm?id=520822299606,NE 翻领大衣 春秋薄款英伦复古双排扣中长款百搭披风男风衣外套,290.0,NE英伦复古男装,http://ejman.taobao.com,4.8
https://item.taobao.com/item.htm?id=523014969815,【天天特价】韩国男装秋冬款羊绒大衣修身中长款风衣,1386.0,方正买卖韩国代购男装潮流商务休闲服装 韩版英伦风绅士男装,http://shop61186792.taobao.com,4.6
https://item.taobao.com/item.htm?id=556458035194,2017秋装新款男士中长款休闲夹克连帽夹克男外套风衣上衣韩版修身,138.0,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=542213322330,春秋新款男士针织开衫羊毛风衣中长款开衫毛衣潮韩版宽松外套纯色,138.0,韩装拉风阁,http://shop106422532.taobao.com,4.5
https://item.taobao.com/item.htm?id=537190294375,,298.0,明星潮牌IT专柜代购,http://shop123356247.taobao.com,4.7
https://item.taobao.com/item.htm?id=541355351090,天天特价 拼色风衣 春季新款 男士套头圆领青年防风长袖休闲外套,180.0,HANSBENNY,http://hansbenny.taobao.com,4.8
https://item.taobao.com/item.htm?id=543423594445,TD1 TeamAge  三国系列 玩物丧志 牛仔复合座山雕 冬款大衣风衣,588.0,TD1潮流线上商铺,http://re701.taobao.com,4.9
https://item.taobao.com/item.htm?id=538741702570,风衣男薄款学生春秋季新款休闲外套韩版修身青少年中长款大衣男潮,128.00 - 138.00,衣客尚都,http://shop128552193.taobao.com,4.4
https://item.taobao.com/item.htm?id=557486393744,2017秋冬季新款男士风衣中长款羊毛呢大衣修身英伦男装外套,358.0,Bo丶lover,http://shop339763860.taobao.com,4.7
https://item.taobao.com/item.htm?id=545635410749,NOTHOMME日系潮牌军绿中长款连帽工装风衣外套男款宽松版ifashion,258.0,NOTHOMME,http://nothomme.taobao.com,4.7
https://item.taobao.com/item.htm?id=522027793949,中年男士风衣外套 中老年男风衣中长款大码爸爸冬装加厚毛领大衣,165.0,越成男装,http://shop72123096.taobao.com,4.7
https://item.taobao.com/item.htm?id=539710197264,春秋毛衣男开衫中长款针织衫外套青年连帽薄款线衣服韩版男装潮牌,381.00 - 410.00,衣吉品男装,http://123456789zhuyan8888.taobao.com,4.4
https://item.taobao.com/item.htm?id=556794779011,OHONLY  bf风宽松迷彩夹克外套男前短后长溜须休闲风衣,168.0,OHONLY STUDIO,http://ohohonly.taobao.com,4.7
https://item.taobao.com/item.htm?id=522904283991,秋冬男士超薄风衣韩版青年休闲中长款防雨宽松夹克外套男装加大码,89.00-109.00,豆米服饰,http://shop113016171.taobao.com,4.8
https://item.taobao.com/item.htm?id=537041498003,披风斗篷披肩蝙蝠衫男卫衣宽松连帽大码黑色套头风衣蝙蝠袖外套男,89.00 - 95.00,欧体焊管男装,http://shop109169517.taobao.com,4.3
https://item.taobao.com/item.htm?id=536606500199,披风斗篷披肩蝙蝠衫男卫衣宽松连帽大码潮牌套头风衣蝙蝠袖外套男,299.0,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=537430951231,青年英伦中长款连帽风衣男士秋季外套学生韩版修身帅气披风潮男装,66.0,潮男地带 衣见钟情,http://shop148751597.taobao.com,4.5
https://item.taobao.com/item.htm?id=538728684788,秋季西装领中长款风衣男士英伦加大码呢子外套青年毛呢大衣潮男装,139.0,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=525541171996,2016复古皮大衣韩版修身长款皮风衣秋冬加绒加厚保暖中长款外套男,298.0,SOHO港式潮男正品,http://mr-soho.taobao.com,4.7
https://item.taobao.com/item.htm?id=538604316904,男春秋外套大码薄款夹克青年加肥加大男装潮男反光运动防风衣连帽,69.0,潮流前线男装店丶,http://wuhaodianpu.taobao.com,4.8
https://item.taobao.com/item.htm?id=535025240747,春季新款潮男薄款日系修身冲锋上衣运动风衣街头潮牌迷彩外套男潮,139.0,CWC工作室 原创设计男装,http://shop118851208.taobao.com,4.6
https://item.taobao.com/item.htm?id=536481953024,秋款M51欧美工装军旅风男士军绿迷彩中长款风衣不对称燕尾薄外套,138.0,欧体焊管男装,http://shop109169517.taobao.com,4.3
https://item.taobao.com/item.htm?id=529139902369,TBALLER ORIGINALS 16SS WRINKLE BUTTON COAT 海军蓝 长款 风衣,419.0,TBALLER ONLINE STORE,http://tballer.taobao.com,4.8
